,school,sex,age,Medu,Fedu,at_home,health,other,services,teacher,F at_home,F health,F other,F services,F teacher,father,mother,other,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,goout,Dalc,Walc,health,absences
0,1,1,18,4,4,1,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,1,0,0,0,1,0,4,1,1,3,4
1,1,1,17,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,1,0,0,1,1,3,1,1,3,2
2,1,1,15,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,1,1,2,2,3,3,6
3,1,1,15,4,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,3,0,0,1,0,1,1,1,2,1,1,5,0
4,1,1,16,3,3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,0,0,1,0,0,1,0,2,1,2,5,0
5,1,0,16,4,3,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,1,1,1,2,1,2,5,6
6,1,0,16,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,1,4,1,1,3,0
7,1,1,17,4,4,0,0,1,0,0,0,0,0,0,1,0,1,0,2,2,0,1,1,0,0,1,0,4,1,1,1,2
8,1,0,15,3,2,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,1,2,1,1,1,0
9,1,0,15,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,1,1,1,1,1,1,5,0
10,1,1,15,4,4,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,1,1,3,1,2,2,2
11,1,1,15,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,3,3,0,0,1,0,1,1,1,2,1,1,4,0
12,1,0,15,4,4,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,3,1,3,5,0
13,1,0,15,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,2,2,0,0,1,0,0,1,1,3,1,2,3,0
14,1,0,15,2,2,0,0,1,0,0,0,0,1,0,0,0,0,1,1,3,0,0,1,0,0,1,1,2,1,1,3,0
15,1,1,16,4,4,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,4,1,2,2,6
16,1,1,16,4,4,0,0,0,1,0,0,0,0,1,0,0,1,0,1,3,0,0,1,0,1,1,1,3,1,2,2,10
17,1,1,16,3,3,0,0,1,0,0,0,0,1,0,0,0,1,0,3,2,0,1,1,0,1,1,0,2,1,1,4,2
18,1,0,17,3,2,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,3,0,1,1,1,1,1,5,2,4,5,2
19,1,0,16,4,3,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,3,1,3,5,6
20,1,0,15,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,1,1,1,1,1,0
21,1,0,15,4,4,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,2,1,1,5,0
22,1,0,16,4,2,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,1,1,1,1,3,5,0
23,1,0,16,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,2,2,0,0,1,0,1,1,1,4,2,4,5,2
24,1,1,15,2,4,0,0,0,1,0,0,1,0,0,0,0,1,0,1,3,0,1,1,0,1,1,1,2,1,1,5,2
25,1,1,16,2,2,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,2,1,3,5,6
26,1,0,15,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,2,1,2,5,8
27,1,0,15,4,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,4,2,4,1,0
28,1,0,16,3,4,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,1,1,1,1,1,1,3,1,1,5,2
29,1,0,16,4,4,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,0,0,1,1,1,1,1,5,5,5,5,4
30,1,0,15,4,4,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,1,1,0,1,1,2,3,4,5,0
31,1,0,15,4,4,0,0,0,1,0,0,0,0,1,0,0,1,0,2,2,0,0,1,0,1,1,1,1,1,1,5,2
32,1,0,15,4,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,0,1,0,1,1,1,2,1,1,5,0
33,1,0,15,3,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,1,1,2,1,1,2,0
34,1,0,16,3,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,3,1,1,5,4
35,1,1,15,2,3,0,0,1,0,0,0,0,1,0,0,1,0,0,2,1,0,0,1,0,1,1,0,1,1,1,5,4
36,1,0,15,4,3,0,0,0,0,1,0,0,0,1,0,0,1,0,1,3,0,0,1,0,1,1,1,3,1,1,4,0
37,1,0,16,4,4,0,0,1,0,0,0,0,0,0,1,0,1,0,2,3,0,0,1,0,1,1,1,3,1,1,5,4
38,1,1,15,3,4,0,0,0,1,0,0,1,0,0,0,0,1,0,1,3,0,1,1,0,1,1,1,2,1,1,5,2
39,1,1,15,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,2,8
40,1,1,16,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,2,2,0,0,1,0,1,1,1,3,1,2,3,16
41,1,0,15,4,4,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,3,2,4,5,8
42,1,0,15,4,4,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,1,0,1,1,1,3,1,1,5,0
43,1,0,15,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0
44,1,1,16,2,2,0,0,1,0,0,1,0,0,0,0,1,0,0,2,2,1,1,0,0,1,1,1,3,2,2,5,14
45,1,1,15,4,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,1,1,1,1,1,1,2,1,1,5,4
46,1,1,16,3,3,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2,0,0,1,0,0,1,1,5,1,4,3,6
47,1,0,16,4,3,0,1,0,0,0,0,0,0,1,0,0,1,0,1,4,0,0,0,0,1,1,1,2,1,1,2,2
48,1,0,15,4,2,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,0,3,2,2,5,4
49,1,1,15,4,4,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,1,1,0,1,1,1,4,1,1,3,2
50,1,1,16,2,2,0,0,0,1,0,0,0,0,1,0,0,1,0,3,2,0,0,1,0,0,1,1,3,2,3,4,0
51,1,1,15,4,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,1,3,1,1,5,0
52,1,0,15,4,2,0,1,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,5,3,4,5,4
53,1,1,15,4,4,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,4,2,3,5,0
54,1,1,15,3,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,4,4,4,1,0
55,1,1,16,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,1,1,4,1,1,2,2
56,1,1,15,4,3,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0,1,0,1,1,1,2,1,1,1,0
57,1,0,15,4,4,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,1,0,1,1,0,2,1,1,5,8
58,1,0,15,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,0,1,1,0,1,1,1,2,1,1,5,0
59,1,1,16,4,2,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,1,0,1,1,3,1,1,5,2
60,1,1,16,4,4,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,0,1,1,0,4,2,3,4,0
61,1,1,16,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,4,1,0,1,1,0,1,1,1,5,5,5,5,0
62,1,1,16,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,1,2,0,1,0,0,1,1,1,3,1,1,1,0
63,1,1,16,4,3,0,0,0,0,1,0,1,0,0,0,0,1,0,1,3,0,1,1,0,1,1,1,4,2,4,4,0
64,1,1,15,4,3,0,0,0,1,0,0,0,0,1,0,1,0,0,1,2,0,1,0,0,1,1,1,4,2,4,2,0
65,1,1,16,4,3,0,0,0,0,1,0,0,0,1,0,0,1,0,3,2,0,0,1,0,1,1,1,3,1,2,1,2
66,1,0,15,4,4,0,0,1,0,0,0,0,0,1,0,0,1,0,1,4,0,0,1,0,1,1,1,3,5,5,3,0
67,1,1,16,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,4,0,1,1,0,0,1,1,3,1,2,5,0
68,1,1,15,2,2,0,1,0,0,0,0,0,0,1,0,0,1,0,2,2,0,1,1,0,0,1,1,3,1,3,4,0
69,1,1,15,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,4,0,0,1,0,0,1,1,2,2,3,3,6
70,1,0,16,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,4,0,0,1,0,0,1,1,2,1,1,5,2
71,1,0,15,4,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,4,0,0,0,0,0,1,1,3,1,1,3,0
72,1,1,15,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,1,1,0,0,1,1,4,2,4,5,2
73,1,0,16,3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,2,2,2,5,0
74,1,1,16,3,3,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2,0,1,1,0,1,1,1,3,2,4,5,4
75,1,0,15,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,0,0,1,0,1,1,1,3,2,3,5,0
76,1,0,15,4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,4,0,0,0,0,1,1,1,3,1,1,1,0
77,1,1,16,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,4,0,0,0,0,0,1,1,3,1,3,3,1
78,1,0,17,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,2,1,3,1,1,0,1,0,1,1,1,1,3,0
79,1,1,16,3,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,1,3,1,2,3,14
80,1,0,15,2,3,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,2,1,3,3,0
81,1,0,15,2,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,3,0,1,0,0,0,1,1,2,1,2,5,2
82,1,1,15,3,2,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,1,4,1,1,5,4
83,1,0,15,2,2,0,0,0,1,0,0,0,0,1,0,0,1,0,2,2,0,0,0,1,1,1,1,3,1,3,4,2
84,1,1,15,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,0,0,1,0,1,1,1,2,2,3,4,2
85,1,1,15,4,4,0,0,0,1,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,1,1,4,2,3,5,4
86,1,1,16,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,0,4,1,2,2,6
87,1,1,15,4,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,3,0,0,1,0,1,1,1,3,1,3,1,4
88,1,0,16,2,2,0,0,0,1,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,1,1,1,2,1,1,3,6
89,1,0,16,4,4,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,1,0,3,3,5,5,6
90,1,1,16,3,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,3,0,0,1,0,0,1,1,3,1,3,4,2
91,1,1,15,4,3,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,5,1,3,1,6
92,1,1,16,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,0,1,1,0,0,1,0,3,2,3,2,0
93,1,1,16,4,2,0,0,0,0,1,0,0,0,1,0,0,1,0,2,2,0,0,1,0,1,1,1,3,1,1,1,2
94,1,0,15,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0,1,4,0,0,1,0,1,1,1,4,1,1,4,2
95,1,1,15,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,4,0,1,1,1,1,1,1,2,1,1,1,4
96,1,0,16,4,3,0,0,0,1,0,0,0,1,0,0,0,1,0,2,1,0,1,1,1,1,1,1,3,1,1,4,6
97,1,1,16,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,0,5,1,1,5,0
98,1,1,16,4,4,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,4,1,2,1,4
99,1,1,16,4,3,0,0,1,0,0,1,0,0,0,0,0,1,0,1,3,0,1,1,0,0,1,1,5,1,1,3,2
100,1,0,16,4,4,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,5,5,5,4,12
101,1,0,16,4,4,0,0,0,1,0,0,0,0,0,1,1,0,0,1,3,0,0,1,0,1,1,1,3,1,1,4,0
102,1,0,15,4,4,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,3,1,1,5,2
103,1,1,15,3,2,0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,0,1,1,0,0,1,1,5,1,1,2,16
104,1,0,15,3,4,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,1,1,1,4,1,1,1,0
105,1,1,15,3,3,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,0,1,0,0,0,1,0,3,1,1,4,10
106,1,1,15,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,4,0,1,1,0,0,1,1,2,1,1,3,4
107,1,0,16,3,3,0,0,0,1,0,0,0,1,0,0,1,0,0,1,3,0,0,1,0,1,1,1,3,1,1,5,4
108,1,0,15,4,4,0,0,1,0,0,0,0,1,0,0,1,0,0,4,4,0,0,1,0,1,1,1,5,3,5,1,8
109,1,1,16,4,4,0,1,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,1,0,1,1,1,5,1,1,4,2
110,1,0,15,4,4,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,3,1,1,4,4
111,1,1,16,3,3,0,0,0,1,0,0,0,1,0,0,1,0,0,1,3,0,1,1,0,1,1,1,2,1,1,2,4
112,1,1,16,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,1,0,0,1,1,1,2,1,1,5,12
113,1,0,15,4,2,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,2,1,1,3,10
114,1,0,15,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,1,1,1,2,1,1,5,4
115,1,0,16,4,4,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,0,0,1,0,1,1,1,4,1,2,5,6
116,1,0,15,4,4,0,0,1,0,0,0,0,0,0,1,1,0,0,2,2,0,0,1,0,1,1,0,3,1,1,2,4
117,1,0,16,3,3,0,0,1,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,1,1,1,2,1,1,5,6
118,1,0,17,1,3,0,0,1,0,0,0,0,1,0,0,1,0,0,3,2,1,0,1,0,1,1,1,4,1,4,5,14
119,1,0,15,3,4,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,3,1,2,4,2
120,1,1,15,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,1,3,1,2,1,0
121,1,0,15,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,4,0,0,1,0,1,1,1,4,1,2,5,6
122,1,1,16,2,4,0,0,1,0,0,0,1,0,0,0,1,0,0,2,2,0,0,1,0,1,1,1,2,1,2,5,2
123,1,0,16,4,4,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,4,1,4,5,4
124,1,1,16,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,1,4,1,1,5,0
125,1,0,15,3,4,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,5,3,2,5,2
126,1,1,15,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,1,0,0,1,1,1,2,1,1,1,0
127,1,1,19,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2,0,1,0,0,0,0,2,1,1,5,0
128,1,0,16,4,4,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,5,2,5,4,8
129,1,0,16,2,3,0,0,1,0,0,0,0,1,0,0,0,1,0,2,3,0,0,1,0,0,1,1,3,2,2,1,4
130,1,1,15,3,4,0,0,0,1,0,0,0,0,0,1,1,0,0,2,3,0,0,1,0,0,1,1,2,2,2,5,0
131,1,1,18,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,3,0,1,0,1,0,1,5,1,3,5,10
132,1,1,17,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,0,0,1,0,0,1,1,2,1,2,5,8
133,1,1,15,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,1,0,1,1,1,3,1,2,4,6
134,1,1,17,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,4,1,3,5,2
135,1,1,16,3,4,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,4,5,12
136,1,0,16,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,4,1,0,0,0,0,0,1,0,1,1,1,2,4
137,1,1,16,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,4,1,1,5,12
138,1,0,15,3,4,1,0,0,0,0,0,0,0,0,1,0,1,0,4,2,0,0,1,0,0,1,0,3,1,1,5,2
139,1,1,15,4,4,0,0,0,1,0,1,0,0,0,0,0,1,0,1,3,0,0,1,0,1,1,1,3,1,1,5,4
140,1,0,17,3,4,1,0,0,0,0,0,0,1,0,0,0,1,0,3,2,0,0,0,0,0,1,0,5,2,4,5,2
141,1,1,16,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,4,2,0,0,1,0,0,1,0,3,1,1,3,0
142,1,0,18,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,1,1,1,4,4,5,4,2
143,1,1,18,3,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1,3,0,0,1,0,1,1,1,3,5,1,5,10
144,1,1,16,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,1,0,1,1,0,3,1,2,1,8
145,1,1,16,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,0,0,1,0,1,1,1,2,1,1,5,4
146,1,0,16,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,2,0,0,0,0,1,0,4,1,3,5,0
147,1,1,15,4,4,0,0,0,0,1,0,0,0,0,1,0,1,0,2,1,0,0,0,0,1,1,1,2,1,1,5,6
148,1,1,15,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,1,0,0,0,1,1,1,5,1,1,1,2
149,1,0,15,4,3,0,0,0,0,1,0,0,0,1,0,1,0,0,2,4,0,1,1,0,0,1,1,2,1,1,3,6
150,1,1,15,3,3,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,0,2,2,3,1,24
151,1,0,16,4,4,0,0,0,1,0,0,0,0,1,0,0,1,0,1,3,0,0,1,0,1,1,1,3,1,3,5,0
152,1,0,16,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,2,1,0,0,1,0,1,1,1,3,2,2,2,4
153,1,1,15,4,4,0,0,0,0,1,0,0,0,1,0,0,1,0,1,3,0,0,1,0,1,1,1,2,1,1,5,2
154,1,1,16,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,4,3,3,1,4
155,1,0,17,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,5,1,2,5,22
156,1,1,15,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,2,0,0,1,0,0,1,1,2,1,2,5,0
157,1,1,15,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,1,0,1,0,1,2,1,1,5,0
158,1,1,15,3,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2,1,0,1,0,0,1,1,2,1,1,3,2
159,1,1,15,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,1,2,1,1,5,6
